Metadata_data_name	Metadata_Predicted_Class	Metadata_Phenotypic_Value	UMAP0	UMAP1
mitocheck	Prometaphase	1.0	1.9384357	1.5952069
mitocheck	Prometaphase	1.0	0.20686942	-0.75809383
mitocheck	Prometaphase	1.0	-0.7640882	4.119662
mitocheck	Prometaphase	1.0	-0.6278902	6.031028
mitocheck	Prometaphase	1.0	-1.6942343	0.80104244
mitocheck	Prometaphase	1.0	1.275811	8.463574
mitocheck	Prometaphase	1.0	1.0411744	-0.16446976
mitocheck	Prometaphase	1.0	1.5091833	-0.58209187
mitocheck	Prometaphase	1.0	-0.49970266	0.69463545
mitocheck	Prometaphase	1.0	2.231924	8.703699
mitocheck	Prometaphase	1.0	0.7430512	9.4666605
mitocheck	Prometaphase	1.0	0.49545968	-1.0801045
mitocheck	Prometaphase	1.0	-0.8344377	-1.4444243
mitocheck	Prometaphase	1.0	-0.88832927	4.167919
mitocheck	Prometaphase	1.0	-0.22299246	-1.380052
mitocheck	Prometaphase	1.0	0.41619176	0.13601999
mitocheck	Prometaphase	1.0	0.4408106	-0.53902346
mitocheck	Prometaphase	1.0	-0.24802622	-0.9333909
mitocheck	Prometaphase	1.0	0.6705896	-1.878282
mitocheck	Prometaphase	1.0	1.3968704	-0.016051898
mitocheck	Prometaphase	1.0	-1.5234869	-0.3963113
mitocheck	Prometaphase	1.0	1.321365	-1.0913734
mitocheck	Prometaphase	1.0	-0.4060577	-0.92615205
mitocheck	Prometaphase	1.0	-0.50710154	0.44450295
mitocheck	Prometaphase	1.0	0.34130746	-0.7029376
mitocheck	Prometaphase	1.0	-1.4356562	0.5730605
mitocheck	Prometaphase	1.0	-1.1396053	-0.8021067
mitocheck	Prometaphase	1.0	-0.305928	-0.033486523
mitocheck	Prometaphase	1.0	-0.004281472	-0.96667147
mitocheck	Prometaphase	1.0	-2.0223064	1.978321
mitocheck	Prometaphase	1.0	-1.1537881	0.5490085
mitocheck	Prometaphase	1.0	-1.141045	-1.13939
mitocheck	Prometaphase	1.0	-0.19065091	-1.5936531
mitocheck	Prometaphase	1.0	-0.8146995	-0.6475429
mitocheck	Prometaphase	1.0	0.97427946	1.0467106
mitocheck	Prometaphase	1.0	-0.21530725	0.5961249
mitocheck	Prometaphase	1.0	-1.7388021	1.5607624
mitocheck	Prometaphase	1.0	-0.652648	1.4408762
mitocheck	Prometaphase	1.0	-0.69590455	-1.0602529
mitocheck	Prometaphase	1.0	-0.23680043	-1.5457394
mitocheck	Prometaphase	1.0	0.71665716	-0.7335676
mitocheck	Prometaphase	1.0	-0.41388988	-0.8696238
mitocheck	Prometaphase	1.0	-0.0826788	-1.8784925
mitocheck	Prometaphase	1.0	0.08439903	1.7430832
mitocheck	Prometaphase	1.0	-0.24299735	-0.46466556
mitocheck	Prometaphase	1.0	-0.85159683	-1.0039613
mitocheck	Prometaphase	1.0	-0.9810162	-0.8031554
mitocheck	Prometaphase	1.0	0.39492288	1.3581836
mitocheck	Prometaphase	1.0	-0.7501029	-1.2359315
mitocheck	Prometaphase	1.0	-1.0454097	-0.32457376
mitocheck	Prometaphase	1.0	-0.4556669	-2.1140802
mitocheck	Prometaphase	1.0	-1.3478506	0.16045882
mitocheck	Prometaphase	1.0	-1.0206239	-0.76629853
mitocheck	Prometaphase	1.0	-0.9706681	-1.612751
mitocheck	Prometaphase	1.0	-0.14001839	-0.8320764
mitocheck	Prometaphase	1.0	-1.4475119	1.3188632
mitocheck	Prometaphase	1.0	-1.0920613	-1.2700397
mitocheck	Prometaphase	1.0	-0.1952046	-1.0475985
mitocheck	Prometaphase	1.0	-0.42746675	-0.120774135
mitocheck	Prometaphase	1.0	-0.75735176	-0.12799524
mitocheck	Prometaphase	1.0	-0.86342806	0.67415273
mitocheck	Prometaphase	1.0	-1.0719104	-1.3087653
mitocheck	Prometaphase	1.0	-1.3056146	0.42946443
mitocheck	Prometaphase	1.0	-0.7163242	-1.3710134
mitocheck	Prometaphase	1.0	-1.1504972	-1.2578268
mitocheck	Prometaphase	1.0	0.25676438	1.3233609
mitocheck	Prometaphase	1.0	0.20981878	-0.36025652
mitocheck	Prometaphase	1.0	-0.8257646	-1.6815342
mitocheck	Prometaphase	1.0	-1.9701852	1.0378244
mitocheck	Prometaphase	1.0	-0.8662173	0.87228566
mitocheck	Prometaphase	1.0	-0.6662014	1.7334377
mitocheck	Prometaphase	1.0	-0.77853394	-0.60425687
mitocheck	Prometaphase	1.0	-0.81225306	-0.3292505
